FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
277,Polygon,Ixhuatán,42,VIII Norte,LEPTOSOL,21.331139
278,Polygon,Ixhuatán,42,VIII Norte,LUVISOL,66.350458
279,Polygon,Ixhuatán,42,VIII Norte,PHAEOZEM,6.607608
280,Polygon,Ixtacomitán,43,VIII Norte,LUVISOL,123.132705
281,Polygon,Ixtacomitán,43,VIII Norte,PHAEOZEM,2.018343
282,Polygon,Ixtapa,44,VII De Los Bosques,LEPTOSOL,64.161475
283,Polygon,Ixtapa,44,VII De Los Bosques,LUVISOL,36.316925
284,Polygon,Ixtapa,44,VII De Los Bosques,PHAEOZEM,23.688481
285,Polygon,Ixtapa,44,VII De Los Bosques,REGOSOL,154.690424
286,Polygon,Ixtapangajoya,45,VIII Norte,LEPTOSOL,1.505389
287,Polygon,Ixtapangajoya,45,VIII Norte,LUVISOL,105.652631
288,Polygon,Jiquipilas,46,II Valles Zoque,CAMBISOL,283.411934
289,Polygon,Jiquipilas,46,II Valles Zoque,FLUVISOL,14.396097
290,Polygon,Jiquipilas,46,II Valles Zoque,LEPTOSOL,294.561608
291,Polygon,Jiquipilas,46,II Valles Zoque,LUVISOL,210.340257
292,Polygon,Jiquipilas,46,II Valles Zoque,No aplica,6.303395
293,Polygon,Jiquipilas,46,II Valles Zoque,PHAEOZEM,103.305153
294,Polygon,Jiquipilas,46,II Valles Zoque,PLINTOSOL,4.245888
295,Polygon,Jiquipilas,46,II Valles Zoque,REGOSOL,210.116914
296,Polygon,Jiquipilas,46,II Valles Zoque,VERTISOL,173.773427
297,Polygon,Jitotol,47,VII De Los Bosques,CAMBISOL,0.463937
298,Polygon,Jitotol,47,VII De Los Bosques,LEPTOSOL,44.671225
299,Polygon,Jitotol,47,VII De Los Bosques,LUVISOL,70.818659
300,Polygon,Jitotol,47,VII De Los Bosques,No aplica,0.402098
301,Polygon,Jitotol,47,VII De Los Bosques,PHAEOZEM,65.563445
302,Polygon,Jitotol,47,VII De Los Bosques,PLINTOSOL,53.149485
303,Polygon,Juárez,48,VIII Norte,GLEYSOL,133.594792
304,Polygon,Juárez,48,VIII Norte,LUVISOL,467.526756
305,Polygon,Juárez,48,VIII Norte,No aplica,0.693893
306,Polygon,Juárez,48,VIII Norte,PLINTOSOL,140.398263
307,Polygon,La Concordia,20,VI Frailesca,ACRISOL,450.581056
308,Polygon,La Concordia,20,VI Frailesca,CAMBISOL,241.327494
309,Polygon,La Concordia,20,VI Frailesca,FLUVISOL,45.76351
310,Polygon,La Concordia,20,VI Frailesca,LEPTOSOL,1092.228415
311,Polygon,La Concordia,20,VI Frailesca,LUVISOL,288.137073
312,Polygon,La Concordia,20,VI Frailesca,No aplica,108.307605
313,Polygon,La Concordia,20,VI Frailesca,PHAEOZEM,85.896439
314,Polygon,La Concordia,20,VI Frailesca,REGOSOL,257.582638
315,Polygon,La Grandeza,36,XI Sierra Mariscal,ACRISOL,6.762546
316,Polygon,La Grandeza,36,XI Sierra Mariscal,ANDOSOL,41.897764
317,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,ACRISOL,39.046332
318,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,LEPTOSOL,131.974681
319,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,LUVISOL,109.072078
320,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,No aplica,4.709103
321,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,PHAEOZEM,123.026715
322,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,PLANOSOL,2.339282
323,Polygon,La Independencia,41,XV Meseta Comiteca Tojolabal,VERTISOL,103.86574
324,Polygon,La Libertad,50,XIII Maya,ARENOSOL,26.571405
325,Polygon,La Libertad,50,XIII Maya,FLUVISOL,225.535947
326,Polygon,La Libertad,50,XIII Maya,GLEYSOL,100.362866
327,Polygon,La Libertad,50,XIII Maya,LUVISOL,99.750678
328,Polygon,La Libertad,50,XIII Maya,No aplica,4.221512
329,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,ACRISOL,16.096176
330,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,CAMBISOL,18.546324
331,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,FLUVISOL,12.531685
332,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,LEPTOSOL,368.830116
333,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,LUVISOL,409.618461
334,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,No aplica,13.545496
335,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,PHAEOZEM,408.563484
336,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,PLANOSOL,40.552026
337,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,REGOSOL,7.437078
338,Polygon,La Trinitaria,99,XV Meseta Comiteca Tojolabal,VERTISOL,305.848509
339,Polygon,Larráinzar,49,V Altos Tsotsil Tseltal,LEPTOSOL,2.724285
340,Polygon,Larráinzar,49,V Altos Tsotsil Tseltal,LUVISOL,114.694392
341,Polygon,Larráinzar,49,V Altos Tsotsil Tseltal,PHAEOZEM,31.258788
342,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,ACRISOL,13.532602
343,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,CAMBISOL,141.183314
344,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,FLUVISOL,12.168896
345,Polygon,Las Margaritas,52,XV Meseta Comiteca Tojolabal,LEPTOSOL,1055.01435
